target_id	length	eff_length	est_counts	tpm
NM_001305288.1	1667	1568	0	0
NM_001305289.1	2178	2079	0	0
NM_001305290.1	963	864	118	159.244
NM_001305291.1	722	623	1	1.87158
NM_001305292.1	2315	2216	0	0
NM_001305293.1	2561	2462	282	133.554
NM_001305294.1	435	336	0	0
NM_001305295.1	3641	3542	170	55.9623
NM_001305296.1	1113	1014	354	407.062
NM_001305297.1	2361	2262	11	5.67016
NM_001305298.1	681	582	11.4859	23.0112
NM_001305299.1	1313	1214	3.44043	3.30438
NM_001305300.1	2361	2262	8	4.12376
NM_001305301.1	5652	5553	119.549	25.1024
NM_001305302.1	1626	1527	6	4.5815
NM_001305303.1	1254	1155	13	13.1237
NM_001305304.1	774	675	0	0
NM_001305305.1	3436	3337	3.95547	1.38209
NM_001305306.1	1631	1532	1	0.761091
NM_001305307.1	543	444	0	0
NM_001305308.1	1760	1661	2	1.40396
NM_001305309.1	1685	1586	9	6.6166
NM_001305310.1	833	734	99	157.266
NM_001305311.1	1912	1813	0	0
NM_001305312.1	3517	3418	43.1811	14.7305
NM_001305313.2	1779	1680	644.487	447.301
NM_001305314.1	524	425	965	2647.49
NM_001305315.1	1100	1001	17	19.8021
NM_001305316.1	3845	3746	9	2.80137
NM_001305317.1	1655	1556	17	12.739
NM_001305318.1	772	673	1880	3257.15
NM_001305319.1	2422	2323	9	4.5174
NM_001305320.1	1257	1158	7	7.04831
NM_001305321.1	2333	2234	0	0
NM_001305322.1	1955	1856	36.1145	22.6881
NM_001305323.1	1697	1598	0	0
NM_001305324.1	4857	4758	2.1197	0.519451
NM_001305325.1	1260	1161	556.736	559.13
NM_001305326.1	2144	2045	2	1.14033
NM_001305327.1	1474	1375	0	0
NM_001305328.1	1420	1321	84	74.1433
NM_001305329.1	3088	2989	1.23597	0.482144
NM_001305330.1	1983	1884	12	7.4267
NM_001305331.1	1416	1317	0	0
NM_001305332.1	2647	2548	179	81.9123
NM_001305333.1	1727	1628	320	229.188
NM_001305334.1	1170	1071	1	1.08869
NM_001305335.1	1420	1321	52	45.8982
NM_001305336.1	1301	1202	5	4.85022
NM_001305337.1	3182	3083	182	68.8325
NM_001305338.1	561	462	695	1754.04
NM_001305339.1	1063	964	24	29.0288
NM_001305340.1	1914	1815	108	69.3813
NM_001305341.1	3018	2919	39.0265	15.5891
NM_001305342.1	1568	1469	17	13.4934
NM_001305343.1	381	282	1029	4254.63
NM_001305344.1	1713	1614	4	2.88969
NM_001305345.1	478	379	11.3068	34.7853
NM_001305346.1	794	695	213.467	358.13
NM_001305347.1	529	430	0	0
NM_001305348.1	5074	4975	1	0.23437
NM_001305349.1	2016	1917	7.64759	4.65155
NM_001305350.1	1904	1805	1.12749	0.728333
NM_001305351.1	1392	1293	1	0.901773
NM_001305352.1	874	775	1705	2565.18
NM_001305353.1	1804	1705	1	0.683866
NM_001305354.1	2065	1966	65.1765	38.6548
NM_001305355.1	2154	2055	300.536	170.522
NM_001305356.1	5728	5629	143.442	29.7127
NM_001305358.1	1594	1495	52	40.5562
NM_001305359.1	1918	1819	17.5584	11.255
NM_001305360.1	1214	1115	0	0
NM_001305361.1	987	888	6	7.87832
NM_001305362.1	2744	2645	174	76.7042
NM_001305363.1	1608	1509	1112	859.233
NM_001305364.1	1404	1305	2	1.78696
NM_001305365.1	1546	1447	31	24.9798
NM_001305367.1	523	424	422.323	1161.38
NM_001305368.2	1716	1617	8.62089	6.21638
NM_001305369.2	583	484	1146	2760.8
NM_001305370.1	1788	1689	7.31388	5.0491
NM_001305371.1	1531	1432	4	3.25696
NM_001305372.1	792	693	365	614.123
NM_001305373.1	1593	1494	144	112.385
NM_001305375.1	527	428	29	79.0041
NM_001305376.1	674	575	458.852	930.466
NM_001305377.1	3063	2964	45.2995	17.8201
NM_001305378.1	3255	3156	6.92233	2.55747
NM_001305379.1	5926	5827	5.99891	1.20039
NM_001305380.1	2571	2472	21.4353	10.1106
NM_001305381.2	1961	1862	66.9123	41.9008
NM_001308835.1	2208	2109	4.36471	2.4131
NM_001308838.2	1156	1057	0	0
NM_001308841.1	1419	1320	117	103.349
NM_001308844.1	1404	1305	2	1.78696
NM_001308845.1	1170	1071	0	0
NM_001308852.1	818	719	0	0
NM_001308854.1	2445	2346	0	0
NM_001308855.1	1515	1416	1	0.823441
NM_001308857.1	1022	923	13	16.4224
NM_001308859.1	1131	1032	0	0
NM_001308861.1	721	622	22	41.2409
NM_001308865.1	1958	1859	0	0
NM_001308866.2	1811	1712	0	0
NM_001308870.1	1830	1731	0	0
NM_001308872.1	2265	2166	47	25.3008
NM_001308876.1	1452	1353	131	112.894
NM_001308878.1	2290	2191	19.0088	10.116
NM_001308879.1	2688	2589	96	43.2349
NM_001308882.2	1264	1165	40	40.0341
NM_001308885.1	1854	1755	0	0
NM_001308886.1	3234	3135	177	65.8311
NM_001308888.2	637	538	142.989	309.895
NM_001308889.1	1663	1564	360.465	268.733
NM_001308892.1	549	450	4	10.3644
NM_001308896.1	1002	903	0	0
NM_001308898.1	1357	1258	0	0
NM_001308899.1	2293	2194	13.9137	7.39436
NM_001308902.1	785	686	0	0
NM_001308905.1	1535	1436	14	11.3676
NM_001308906.2	2136	2037	14.0668	8.05192
NM_001308908.1	908	809	0	0
NM_001308909.1	1836	1737	22	14.7679
NM_001308913.1	2259	2160	10.6897	5.77044
NM_001308915.1	1541	1442	13	10.5117
NM_001308918.1	965	866	0	0
NM_001308924.1	3079	2980	7	2.73891
NM_001319969.1	1722	1623	14	10.0578
NM_001319970.1	1068	969	82	98.6701
NM_001367274.1	1042	943	0.000828888	0.0010249
NM_001367275.1	1033	934	19.1966	23.9647
NM_001367293.1	2261	2162	51.0881	27.5524
NM_001367294.1	2136	2037	382.758	219.093
NM_001367295.1	2230	2131	17.6529	9.65891
NM_001367296.1	2105	2006	66.3882	38.5883
XM_011413559.3	1856	1757	0	0
XM_011413566.3	3391	3292	0	0
XM_011413583.3	1341	1242	0	0
XM_011413585.3	1269	1170	3	2.98972
XM_011413589.3	5392	5293	0.115089	0.0253529
XM_011413590.3	5222	5123	21.918	4.98852
XM_011413596.3	1119	1020	0	0
XM_011413597.3	2536	2437	0	0
XM_011413601.3	3080	2981	9	3.52027
XM_011413602.3	3013	2914	0	0
XM_011413623.3	1877	1778	40	26.2315
XM_011413624.3	2409	2310	5	2.52379
XM_011413626.3	5017	4918	5	1.18543
XM_011413629.3	3564	3465	0	0
XM_011413631.3	1371	1272	0	0
XM_011413632.3	1739	1640	0	0
XM_011413633.3	1667	1568	0	0
XM_011413636.3	1087	988	25	29.5038
XM_011413642.3	1701	1602	0	0
XM_011413646.3	1893	1794	0	0
XM_011413649.3	806	707	869	1433.16
XM_011413651.3	3224	3125	10	3.73117
XM_011413652.3	3776	3677	70.1893	22.2573
XM_011413653.3	3811	3712	107.26	33.6919
XM_011413654.3	3795	3696	0.316591	0.0998762
XM_011413655.3	2831	2732	3.60653	1.53923
XM_011413656.3	5026	4927	2.96162	0.700879
XM_011413657.3	4988	4889	0	0
XM_011413658.3	4994	4895	0.895122	0.213219
XM_011413659.3	4990	4891	2.10842	0.502638
XM_011413660.3	4856	4757	3.18489	0.780651
XM_011413662.3	1889	1790	7	4.55974
XM_011413664.3	2379	2280	5.82417	2.97848
XM_011413665.3	2523	2424	46	22.1269
XM_011413666.3	2845	2746	16.923	7.18576
XM_011413667.3	2122	2023	12.4111	7.15333
XM_011413668.3	2028	1929	0	0
XM_011413669.3	1984	1885	2.16964e-06	1.34206e-06
