target_id	length	eff_length	est_counts	tpm
NM_001305288.1	1667	1568	0	0
NM_001305289.1	2178	2079	0	0
NM_001305290.1	963	864	254	241.907
NM_001305291.1	722	623	0	0
NM_001305292.1	2315	2216	1	0.371328
NM_001305293.1	2561	2462	273	91.2436
NM_001305294.1	435	336	0	0
NM_001305295.1	3641	3542	201	46.6955
NM_001305296.1	1113	1014	561	455.253
NM_001305297.1	2361	2262	8	2.91021
NM_001305298.1	681	582	16.3314	23.0902
NM_001305299.1	1313	1214	2.07185	1.40432
NM_001305300.1	2361	2262	5	1.81888
NM_001305301.1	5652	5553	92.1648	13.6573
NM_001305302.1	1626	1527	14	7.54426
NM_001305303.1	1254	1155	11	7.83679
NM_001305304.1	774	675	0	0
NM_001305305.1	3436	3337	71.7255	17.6866
NM_001305306.1	1631	1532	8	4.29694
NM_001305307.1	543	444	0	0
NM_001305308.1	1760	1661	0	0
NM_001305309.1	1685	1586	0	0
NM_001305310.1	833	734	28	31.3899
NM_001305311.1	1912	1813	7	3.17708
NM_001305312.1	3517	3418	112.751	27.1441
NM_001305313.2	1779	1680	1509.58	739.391
NM_001305314.1	524	425	1858	3597.36
NM_001305315.1	1100	1001	11	9.04245
NM_001305316.1	3845	3746	6	1.31799
NM_001305317.1	1655	1556	25	13.2208
NM_001305318.1	772	673	3476	4250.03
NM_001305319.1	2422	2323	15	5.31337
NM_001305320.1	1257	1158	7	4.97413
NM_001305321.1	2333	2234	0	0
NM_001305322.1	1955	1856	47.2804	20.9619
NM_001305323.1	1697	1598	0	0
NM_001305324.1	4857	4758	0	0
NM_001305325.1	1260	1161	411.652	291.76
NM_001305326.1	2144	2045	0	0
NM_001305327.1	1474	1375	1	0.598446
NM_001305328.1	1420	1321	145	90.3219
NM_001305329.1	3088	2989	0	0
NM_001305330.1	1983	1884	29	12.6662
NM_001305331.1	1416	1317	0	0
NM_001305332.1	2647	2548	147.069	47.4952
NM_001305333.1	1727	1628	1169	590.864
NM_001305334.1	1170	1071	2	1.53663
NM_001305335.1	1420	1321	152	94.6822
NM_001305336.1	1301	1202	5	3.42289
NM_001305337.1	3182	3083	265	70.7294
NM_001305338.1	561	462	797	1419.53
NM_001305339.1	1063	964	18	15.3647
NM_001305340.1	1914	1815	298	135.104
NM_001305341.1	3018	2919	10.8674	3.0635
NM_001305342.1	1568	1469	10	5.60152
NM_001305343.1	381	282	1743	5086
NM_001305344.1	1713	1614	14	7.1376
NM_001305345.1	478	379	8.66418	18.8112
NM_001305346.1	794	695	0	0
NM_001305347.1	529	430	0	0
NM_001305348.1	5074	4975	0	0
NM_001305349.1	2016	1917	5.2231	2.24199
NM_001305350.1	1904	1805	2.51323	1.14573
NM_001305351.1	1392	1293	2	1.2728
NM_001305352.1	874	775	2584	2743.59
NM_001305353.1	1804	1705	3	1.44785
NM_001305354.1	2065	1966	76.5558	32.0422
NM_001305355.1	2154	2055	676.132	270.737
NM_001305356.1	5728	5629	160.559	23.471
NM_001305358.1	1594	1495	48	26.4197
NM_001305359.1	1918	1819	14.0391	6.35089
NM_001305360.1	1214	1115	0	0
NM_001305361.1	987	888	13	12.0464
NM_001305362.1	2744	2645	655	203.771
NM_001305363.1	1608	1509	1009	550.211
NM_001305364.1	1404	1305	0	0
NM_001305365.1	1546	1447	34	19.3347
NM_001305367.1	523	424	602.026	1168.36
NM_001305368.2	1716	1617	7.74361	3.94059
NM_001305369.2	583	484	2920	4964.38
NM_001305370.1	1788	1689	34.1405	16.6329
NM_001305371.1	1531	1432	5	2.87313
NM_001305372.1	792	693	479	568.761
NM_001305373.1	1593	1494	226.267	124.623
NM_001305375.1	527	428	68	130.735
NM_001305376.1	674	575	933.191	1335.46
NM_001305377.1	3063	2964	86.6828	24.0648
NM_001305378.1	3255	3156	9.87356	2.57433
NM_001305379.1	5926	5827	2.07661	0.29325
NM_001305380.1	2571	2472	23.8717	7.94624
NM_001305381.2	1961	1862	54.9808	24.2974
NM_001308835.1	2208	2109	22.6296	8.82933
NM_001308838.2	1156	1057	0	0
NM_001308841.1	1419	1320	191	119.066
NM_001308844.1	1404	1305	0	0
NM_001308845.1	1170	1071	0	0
NM_001308852.1	818	719	0	0
NM_001308854.1	2445	2346	0	0
NM_001308855.1	1515	1416	3.02776	1.75949
NM_001308857.1	1022	923	18	16.0472
NM_001308859.1	1131	1032	0	0
NM_001308861.1	721	622	17	22.4898
NM_001308865.1	1958	1859	2	0.885275
NM_001308866.2	1811	1712	0	0
NM_001308870.1	1830	1731	0	0
NM_001308872.1	2265	2166	56	21.2744
NM_001308876.1	1452	1353	150	91.2265
NM_001308878.1	2290	2191	24.8642	9.33814
NM_001308879.1	2688	2589	100	31.7831
NM_001308882.2	1264	1165	49	34.6097
NM_001308885.1	1854	1755	0	0
NM_001308886.1	3234	3135	269	70.6061
NM_001308888.2	637	538	692.561	1059.26
NM_001308889.1	1663	1564	475	249.911
NM_001308892.1	549	450	6	10.9715
NM_001308896.1	1002	903	0	0
NM_001308898.1	1357	1258	0	0
NM_001308899.1	2293	2194	0	0
NM_001308902.1	785	686	0	0
NM_001308905.1	1535	1436	54	30.9433
NM_001308906.2	2136	2037	0.331853	0.134055
NM_001308908.1	908	809	3	3.05141
NM_001308909.1	1836	1737	31	14.6855
NM_001308913.1	2259	2160	5455.11	2078.15
NM_001308915.1	1541	1442	9	5.13576
NM_001308918.1	965	866	0	0
NM_001308924.1	3079	2980	373	102.996
NM_001319969.1	1722	1623	12	6.08402
NM_001319970.1	1068	969	91	77.2761
NM_001367274.1	1042	943	0.00127601	0.00111345
NM_001367275.1	1033	934	25.3482	22.332
NM_001367293.1	2261	2162	40.6144	15.458
NM_001367294.1	2136	2037	532.741	215.205
NM_001367295.1	2230	2131	60.6383	23.4149
NM_001367296.1	2105	2006	8.50852	3.4902
XM_011413559.3	1856	1757	0	0
XM_011413566.3	3391	3292	0	0
XM_011413583.3	1341	1242	0	0
XM_011413585.3	1269	1170	0	0
XM_011413589.3	5392	5293	0.159097	0.0247336
XM_011413590.3	5222	5123	31.693	5.09057
XM_011413596.3	1119	1020	0	0
XM_011413597.3	2536	2437	0	0
XM_011413601.3	3080	2981	0	0
XM_011413602.3	3013	2914	14	3.95336
XM_011413623.3	1877	1778	46	21.2889
XM_011413624.3	2409	2310	14	4.98705
XM_011413626.3	5017	4918	1	0.167317
XM_011413629.3	3564	3465	3	0.712436
XM_011413631.3	1371	1272	0	0
XM_011413632.3	1739	1640	0	0
XM_011413633.3	1667	1568	0	0
XM_011413636.3	1087	988	42	34.98
XM_011413642.3	1701	1602	0	0
XM_011413646.3	1893	1794	0.999989	0.45867
XM_011413649.3	806	707	1551	1805.18
XM_011413651.3	3224	3125	13	3.42311
XM_011413652.3	3776	3677	168.167	37.6335
XM_011413653.3	3811	3712	0.00954429	0.00211574
XM_011413654.3	3795	3696	0.823722	0.18339
XM_011413655.3	2831	2732	0	0
XM_011413656.3	5026	4927	0	0
XM_011413657.3	4988	4889	0	0
XM_011413658.3	4994	4895	0	0
XM_011413659.3	4990	4891	5.548	0.933397
XM_011413660.3	4856	4757	0	0
XM_011413662.3	1889	1790	9	4.1373
XM_011413664.3	2379	2280	0	0
XM_011413665.3	2523	2424	35	11.8813
XM_011413666.3	2845	2746	15.8116	4.73807
XM_011413667.3	2122	2023	1.04665e-07	4.25731e-08
XM_011413668.3	2028	1929	0	0
XM_011413669.3	1984	1885	0	0
XM_011413671.3	2089	1990	2.46138	1.01778
XM_011413672.3	2083	1984	55.5333	23.0324
