target_id	length	eff_length	est_counts	tpm
NM_001305288.1	1667	1568	0	0
NM_001305289.1	2178	2079	2	1.02889
NM_001305290.1	963	864	138	170.828
NM_001305291.1	722	623	0	0
NM_001305292.1	2315	2216	4	1.93057
NM_001305293.1	2561	2462	228	99.047
NM_001305294.1	435	336	1	3.18314
NM_001305295.1	3641	3542	156	47.1054
NM_001305296.1	1113	1014	288	303.773
NM_001305297.1	2361	2262	24	11.3478
NM_001305298.1	681	582	14.0186	25.7618
NM_001305299.1	1313	1214	0	0
NM_001305300.1	2361	2262	4	1.89131
NM_001305301.1	5652	5553	104.933	20.2106
NM_001305302.1	1626	1527	4	2.80166
NM_001305303.1	1254	1155	7	6.48202
NM_001305304.1	774	675	0	0
NM_001305305.1	3436	3337	31.1329	9.97832
NM_001305306.1	1631	1532	0	0
NM_001305307.1	543	444	0	0
NM_001305308.1	1760	1661	0	0
NM_001305309.1	1685	1586	2	1.34872
NM_001305310.1	833	734	111	161.742
NM_001305311.1	1912	1813	4.68614	2.76447
NM_001305312.1	3517	3418	28	8.76154
NM_001305313.2	1779	1680	743.436	473.292
NM_001305314.1	524	425	1068	2687.68
NM_001305315.1	1100	1001	88.9029	94.9897
NM_001305316.1	3845	3746	0	0
NM_001305317.1	1655	1556	50	34.3681
NM_001305318.1	772	673	1464	2326.59
NM_001305319.1	2422	2323	24	11.0499
NM_001305320.1	1257	1158	5	4.61802
NM_001305321.1	2333	2234	0	0
NM_001305322.1	1955	1856	15.1313	8.71955
NM_001305323.1	1697	1598	0	0
NM_001305324.1	4857	4758	0	0
NM_001305325.1	1260	1161	308.719	284.398
NM_001305326.1	2144	2045	1	0.523
NM_001305327.1	1474	1375	0	0
NM_001305328.1	1420	1321	98	79.3447
NM_001305329.1	3088	2989	3.55457	1.27191
NM_001305330.1	1983	1884	14	7.94771
NM_001305331.1	1416	1317	3	2.4363
NM_001305332.1	2647	2548	132.476	55.6075
NM_001305333.1	1727	1628	375	246.361
NM_001305334.1	1170	1071	2	1.99726
NM_001305335.1	1420	1321	249	201.6
NM_001305336.1	1301	1202	9	8.00816
NM_001305337.1	3182	3083	151	52.3839
NM_001305338.1	561	462	708	1639.03
NM_001305339.1	1063	964	23	25.5179
NM_001305340.1	1914	1815	139	81.9092
NM_001305341.1	3018	2919	8.99278	3.29499
NM_001305342.1	1568	1469	15	10.921
NM_001305343.1	381	282	1159	4395.71
NM_001305344.1	1713	1614	7	4.63862
NM_001305345.1	478	379	2.67466	7.54786
NM_001305346.1	794	695	0	0
NM_001305347.1	529	430	0	0
NM_001305348.1	5074	4975	3	0.644945
NM_001305349.1	2016	1917	7.94435	4.43232
NM_001305350.1	1904	1805	3.34242	1.98052
NM_001305351.1	1392	1293	0	0
NM_001305352.1	874	775	1660	2290.87
NM_001305353.1	1804	1705	2	1.25459
NM_001305354.1	2065	1966	41.2423	22.4364
NM_001305355.1	2154	2055	746.955	388.756
NM_001305356.1	5728	5629	55.8881	10.619
NM_001305358.1	1594	1495	17	12.1619
NM_001305359.1	1918	1819	11.1466	6.55399
NM_001305360.1	1214	1115	0	0
NM_001305361.1	987	888	4	4.81772
NM_001305362.1	2744	2645	289	116.86
NM_001305363.1	1608	1509	1217	862.573
NM_001305364.1	1404	1305	0	0
NM_001305365.1	1546	1447	26	19.2176
NM_001305367.1	523	424	533.293	1345.22
NM_001305368.2	1716	1617	1.56052	1.03218
NM_001305369.2	583	484	1491	3294.78
NM_001305370.1	1788	1689	15.0172	9.5094
NM_001305371.1	1531	1432	1	0.746881
NM_001305372.1	792	693	307	473.805
NM_001305373.1	1593	1494	144	103.088
NM_001305375.1	527	428	29	72.4684
NM_001305376.1	674	575	233.335	434.017
NM_001305377.1	3063	2964	86.5023	31.2136
NM_001305378.1	3255	3156	23.9614	8.12027
NM_001305379.1	5926	5827	10.5734	1.94072
NM_001305380.1	2571	2472	13.2004	5.71127
NM_001305381.2	1961	1862	80	45.9521
NM_001308835.1	2208	2109	19.6562	9.9682
NM_001308838.2	1156	1057	0	0
NM_001308841.1	1419	1320	118	95.6099
NM_001308844.1	1404	1305	2	1.63913
NM_001308845.1	1170	1071	0	0
NM_001308852.1	818	719	0	0
NM_001308854.1	2445	2346	0	0
NM_001308855.1	1515	1416	4	3.02128
NM_001308857.1	1022	923	21	24.3339
NM_001308859.1	1131	1032	0	0
NM_001308861.1	721	622	17	29.2316
NM_001308865.1	1958	1859	1	0.575328
NM_001308866.2	1811	1712	0	0
NM_001308870.1	1830	1731	0	0
NM_001308872.1	2265	2166	46	22.714
NM_001308876.1	1452	1353	150	118.574
NM_001308878.1	2290	2191	5.87445	2.8676
NM_001308879.1	2688	2589	120	49.5728
NM_001308882.2	1264	1165	88	80.7888
NM_001308885.1	1854	1755	0	0
NM_001308886.1	3234	3135	445	151.816
NM_001308888.2	637	538	54.3754	108.097
NM_001308889.1	1663	1564	348	237.978
NM_001308892.1	549	450	14	33.2744
NM_001308896.1	1002	903	0	0
NM_001308898.1	1357	1258	0	0
NM_001308899.1	2293	2194	8.41068	4.10005
NM_001308902.1	785	686	0	0
NM_001308905.1	1535	1436	19	14.1512
NM_001308906.2	2136	2037	0	0
NM_001308908.1	908	809	0	0
NM_001308909.1	1836	1737	35	21.5508
NM_001308913.1	2259	2160	30.1495	14.9287
NM_001308915.1	1541	1442	23	17.0591
NM_001308918.1	965	866	0	0
NM_001308924.1	3079	2980	47	16.8685
NM_001319969.1	1722	1623	10	6.58986
NM_001319970.1	1068	969	71	78.3663
NM_001367274.1	1042	943	0.000203531	0.000230841
NM_001367275.1	1033	934	9.22349	10.5619
NM_001367293.1	2261	2162	68.3447	33.8099
NM_001367294.1	2136	2037	271.898	142.761
NM_001367295.1	2230	2131	8.57391e-07	4.30319e-07
NM_001367296.1	2105	2006	56.043	29.8803
XM_011413559.3	1856	1757	0	0
XM_011413566.3	3391	3292	3	0.974667
XM_011413583.3	1341	1242	0	0
XM_011413585.3	1269	1170	0	0
XM_011413589.3	5392	5293	0.0615134	0.0124297
XM_011413590.3	5222	5123	51.2816	10.7061
XM_011413596.3	1119	1020	3	3.14569
XM_011413597.3	2536	2437	0	0
XM_011413601.3	3080	2981	17	6.09932
XM_011413602.3	3013	2914	0	0
XM_011413623.3	1877	1778	32	19.2492
XM_011413624.3	2409	2310	4	1.85201
XM_011413626.3	5017	4918	1	0.217473
XM_011413629.3	3564	3465	0	0
XM_011413631.3	1371	1272	0	0
XM_011413632.3	1739	1640	0	0
XM_011413633.3	1667	1568	0	0
XM_011413636.3	1087	988	14	15.1553
XM_011413642.3	1701	1602	0	0
XM_011413646.3	1893	1794	0	0
XM_011413649.3	806	707	967	1462.86
XM_011413651.3	3224	3125	24	8.21402
XM_011413652.3	3776	3677	140.555	40.8833
XM_011413653.3	3811	3712	0.00353196	0.00101766
XM_011413654.3	3795	3696	0.441966	0.127894
XM_011413655.3	2831	2732	4.99372	1.95496
XM_011413656.3	5026	4927	11.6152	2.52138
XM_011413657.3	4988	4889	0	0
XM_011413658.3	4994	4895	0	0
XM_011413659.3	4990	4891	0	0
XM_011413660.3	4856	4757	21.8104	4.90372
XM_011413662.3	1889	1790	10	5.97505
XM_011413664.3	2379	2280	3.15716	1.48101
XM_011413665.3	2523	2424	75	33.092
XM_011413666.3	2845	2746	25.5833	9.96437
XM_011413667.3	2122	2023	0	0
XM_011413668.3	2028	1929	0	0
XM_011413669.3	1984	1885	11.1512	6.32712
XM_011413671.3	2089	1990	0.202891	0.109045
XM_011413672.3	2083	1984	5.93496	3.19942
XM_011413673.3	2083	1984	0	0
XM_011413674.3	2009	1910	0	0
XM_011413675.3	1464	1365	1	0.783541
XM_011413676.3	4562	4463	8.56622	2.05285
XM_011413677.3	5397	5298	7.81416	1.57748
XM_011413678.3	4041	3942	9.61962	2.60997
XM_011413680.3	2785	2686	2	0.796377
XM_011413681.3	1518	1419	0	0
XM_011413682.3	1820	1721	27	16.7794
XM_011413683.3	2233	2134	0	0
XM_011413684.3	772	673	0	0
XM_011413685.3	631	532	2	4.0208
XM_011413697.3	1818	1719	5	3.11092
XM_011413700.3	4553	4454	0	0
XM_011413701.3	1168	1069	0	0
XM_011413703.3	1681	1582	435	294.088
XM_011413705.3	3383	3284	12	3.90816
XM_011413706.3	4541	4442	1.9202e-08	4.62342e-09
XM_011413707.3	3483	3384	0	0
XM_011413712.3	699	600	10	17.8256
XM_011413713.3	723	624	0	0
XM_011413714.3	3472	3373	4	1.26835
XM_011413715.3	4558	4459	0	0
XM_011413717.3	3099	3000	0	0
XM_011413718.3	4729	4630	0	0
XM_011413719.3	4696	4597	0	0
XM_011413720.3	4665	4566	0	0
XM_011413721.3	4774	4675	20.8999	4.78142
XM_011413722.3	4780	4681	0	0
XM_011413725.3	4434	4335	0	0
XM_011413726.3	4183	4084	0	0
XM_011413727.3	4190	4091	0	0
XM_011413728.3	4138	4039	0	0
XM_011413730.3	1529	1430	0	0
XM_011413731.3	1523	1424	3	2.25323
XM_011413732.3	4278	4179	201.495	51.5688
XM_011413733.3	2435	2336	40.6665	18.6191
XM_011413734.3	3490	3391	10.4227	3.28737
XM_011413735.3	1477	1378	1	0.77615
XM_011413737.3	2520	2421	45.7742	20.2218
XM_011413738.3	3181	3082	4.79318	1.66336
XM_011413741.3	2293	2194	15	7.31222
XM_011413745.3	3863	3764	0.0438561	0.0124616
XM_011413746.3	3839	3740	55.9561	16.0019
XM_011413747.3	6808	6709	5.50119	0.876988
XM_011413748.3	968	869	576	708.92
XM_011413752.3	3017	2918	0	0
XM_011413754.3	2575	2476	0	0
XM_011413756.3	1488	1389	2	1.54001
XM_011413758.3	2034	1935	4	2.21092
XM_011413759.3	7204	7105	57	8.58036
XM_011413760.2	1093	994	0	0
XM_011413769.3	2933	2834	14.3615	5.41994
XM_011413770.3	1156	1057	0	0
XM_011413771.3	1068	969	0	0
XM_011413773.3	1135	1036	0	0
XM_011413775.3	1096	997	0	0
XM_011413776.3	1084	985	0	0
XM_011413777.3	1063	964	2.25586e-08	2.50282e-08
XM_011413778.3	1045	946	31.9997	36.1784
XM_011413779.3	931	832	0	0
XM_011413780.3	1024	925	0.000302085	0.000349286
XM_011413781.3	910	811	0	0
XM_011413788.3	1868	1769	0	0
XM_011413790.3	1816	1717	0	0
XM_011413795.3	1103	1004	3.95371	4.21179
XM_011413797.3	1102	1003	12.0463	12.8454
XM_011413798.3	5913	5814	0	0
XM_011413799.3	5434	5335	0	0
XM_011413800.3	5322	5223	77	15.7676
XM_011413801.3	5988	5889	0	0
XM_011413804.3	2175	2076	5	2.57595
XM_011413807.3	1697	1598	0	0
XM_011413808.3	1617	1518	11	7.75025
XM_011413809.3	3950	3851	0.0524806	0.0145754
XM_011413810.3	3926	3827	56.9419	15.9136
XM_011413814.3	4473	4374	123.815	30.2754
XM_011413817.3	2358	2259	0	0
XM_011413822.3	2095	1996	4.73706	2.5383
XM_011413823.3	1785	1686	1	0.634362
XM_011413829.1	1224	1125	0	0
XM_011413836.3	1683	1584	3	2.02563
XM_011413837.2	2457	2358	0	0
XM_011413838.3	1264	1165	25	22.9514
XM_011413839.3	2474	2375	6.4171	2.88981
XM_011413840.3	2940	2841	6.89854	2.59705
XM_011413849.3	3867	3768	21	5.96078
XM_011413850.3	1454	1355	20	15.7865
XM_011413859.3	1806	1707	18	11.278
XM_011413863.3	893	794	0	0
XM_011413864.3	765	666	3	4.81772
XM_011413865.3	1284	1185	2	1.80512
XM_011413866.3	1478	1379	4.91407	3.81129
XM_011413868.3	1895	1796	0	0
XM_011413890.3	675	576	0	0
XM_011413895.3	2779	2680	2	0.79816
XM_011413899.3	2381	2282	2.67854	1.25538
XM_011413901.3	2009	1910	0	0
XM_011413903.3	1973	1874	0	0
XM_011413908.3	1926	1827	0	0
XM_011413910.3	2729	2630	0	0
XM_011413911.3	3906	3807	0.0501846	0.0140988
XM_011413912.3	3896	3797	0.949815	0.267543
XM_011413918.3	4314	4215	0	0
XM_011413919.3	985	886	2	2.4143
XM_011413923.3	1378	1279	0	0
XM_011413924.3	802	703	1	1.52139
XM_011413925.3	1296	1197	0	0
XM_011413926.3	804	705	16	24.2731
XM_011413927.3	2109	2010	0	0
XM_011413928.3	1532	1433	0	0
XM_011413939.3	2788	2689	46.7196	18.5825
XM_011413943.3	1091	992	1	1.07816
XM_011413944.3	1437	1338	9.08964	7.26583
XM_011413945.2	1340	1241	0	0
XM_011413946.3	4255	4156	8.903	2.29116
XM_011413947.3	2434	2335	4.84218	2.21793
XM_011413948.3	3162	3063	2.81699	0.983632
XM_011413949.3	2223	2124	3.43783	1.73111
XM_011413950.3	1401	1302	0	0
XM_011413951.3	1430	1331	2	1.60711
XM_011413953.3	1832	1733	0	0
XM_011413954.3	1480	1381	49	37.9487
XM_011413955.3	1190	1091	1	0.980325
XM_011413956.3	1707	1608	0	0
XM_011413957.2	584	485	152	335.194
XM_011413958.3	5029	4930	0	0
XM_011413964.3	1044	945	0	0
XM_011413966.3	1125	1026	2	2.08486
XM_011413967.3	2646	2547	4	1.67968
XM_011413968.3	1816	1717	0	0
XM_011413969.3	3213	3114	0	0
XM_011413970.3	3192	3093	0	0
XM_011413971.3	3177	3078	0	0
XM_011413972.3	3175	3076	0	0
XM_011413973.3	3164	3065	0	0
XM_011413974.3	3156	3057	0	0
XM_011413975.3	3121	3022	0	0
XM_011413976.3	3383	3284	0	0
XM_011413977.3	3070	2971	0	0
XM_011413978.3	3353	3254	0	0
XM_011413979.3	3320	3221	0	0
XM_011413981.3	2981	2882	0	0
XM_011413982.3	3252	3153	0	0
XM_011413986.3	3204	3105	8.4182	2.89969
XM_011413987.3	3555	3456	0	0
XM_011413988.3	3234	3135	7.86022	2.68159
XM_011413989.3	2895	2796	46.7216	17.8721
XM_011413990.3	2888	2789	1.01603e-08	3.8963e-09
XM_011413991.3	2622	2523	4	1.69565
XM_011413992.3	1675	1576	0	0
XM_011413993.3	1619	1520	9	6.33277
